Unnamed: 0,rep,hv,dataset,exp,num_pts,avg_pred_perf,avg_fair_perf,objective1,objective2
50,10,0.7776662521245286,creditg,Evolved Weights,29,0.7244827586206898,0.1083131422722912,0,0
51,11,0.7445257220680441,creditg,Evolved Weights,20,0.725,0.1987230071295751,0,0
52,12,0.6684373522458629,creditg,Evolved Weights,14,0.7310714285714285,0.2612799729821006,0,0
53,13,0.6609645308924486,creditg,Evolved Weights,7,0.7621428571428571,0.2560858668410156,0,0
54,14,0.756761217948718,creditg,Evolved Weights,11,0.7213636363636363,0.1476107226107226,0,0
55,15,0.7434722028346223,creditg,Evolved Weights,9,0.7811111111111112,0.1880506207651019,0,0
56,16,0.7178070175438596,creditg,Evolved Weights,8,0.78875,0.1948099415204678,0,0
57,17,0.7661592032967033,creditg,Evolved Weights,14,0.7539285714285715,0.2038566195709052,0,0
58,18,0.6987967171717171,creditg,Evolved Weights,10,0.727,0.2270959595959595,0,0
59,19,0.7021228070175438,creditg,Evolved Weights,8,0.7875,0.1993421052631578,0,0
0,0,0.5185719605287655,titanic,Equal Weights,309,0.955334864991724,0.464335517141579,0,0
1,1,0.3901068894753682,titanic,Equal Weights,105,0.9847328244274808,0.603844941695556,0,0
2,2,0.4284231496326784,titanic,Equal Weights,15,0.9885496183206112,0.5666144200626959,0,0
3,3,0.4710018019593719,titanic,Equal Weights,667,0.9732824427480916,0.5160687368103707,0,0
4,4,0.5475845337203956,titanic,Equal Weights,33,0.9809160305343512,0.4417620706819313,0,0
5,5,0.5958651399491094,titanic,Equal Weights,1,0.9732824427480916,0.3877777777777778,0,0
6,6,0.4634074357685834,titanic,Equal Weights,23,0.9770992366412218,0.5257314524555902,0,0
7,7,0.421359230921304,titanic,Equal Weights,995,0.9774943419387012,0.5715379157854696,0,0
8,8,0.4949007904282388,titanic,Equal Weights,83,0.9885496183206106,0.4993667679837892,0,0
9,9,0.4104224552493327,titanic,Equal Weights,888,0.9732824427480916,0.5783110459791169,0,0
10,10,0.51687147024142,titanic,Equal Weights,806,0.9836673422612844,0.4838585271708795,0,0
11,11,0.4190288306399194,titanic,Equal Weights,396,0.9735426786953504,0.5718565060670323,0,0
12,12,0.5116495352059441,titanic,Equal Weights,821,0.9923664122137408,0.4844146991386254,0,0
13,13,0.5142192112360254,titanic,Equal Weights,18,0.9694656488549616,0.4820674440592499,0,0
14,14,0.4840588534799508,titanic,Equal Weights,94,0.9707243787558874,0.5059784162756956,0,0
15,15,0.5573769313896808,titanic,Equal Weights,915,0.9787761231385306,0.4384369444993087,0,0
16,16,0.5415532691669432,titanic,Equal Weights,811,0.9885496183206108,0.4521739130434782,0,0
17,17,0.5198238177210687,titanic,Equal Weights,671,0.9745167859296252,0.4723263280219751,0,0
18,18,0.5669389475049027,titanic,Equal Weights,640,0.9657740935114504,0.4248177320291174,0,0
19,19,0.4995727078265246,titanic,Equal Weights,997,0.9784965583774222,0.4952355693453988,0,0
20,0,0.5166066737003248,titanic,Deterministic Weights,683,0.9542878857308906,0.4609902907228193,0,0
21,1,0.4020247171386436,titanic,Deterministic Weights,1,0.9885496183206108,0.5933186259060825,0,0
22,2,0.4284231496326784,titanic,Deterministic Weights,731,0.9885496183206108,0.5666144200626961,0,0
23,3,0.4710018019593719,titanic,Deterministic Weights,999,0.9732824427480916,0.5160687368103708,0,0
24,4,0.5475845337203956,titanic,Deterministic Weights,467,0.9809160305343508,0.4417620706819312,0,0
25,5,0.605559796437659,titanic,Deterministic Weights,32,0.9719704198473282,0.3843402777777778,0,0
26,6,0.4763643941388084,titanic,Deterministic Weights,4,0.9809160305343512,0.514367816091954,0,0
27,7,0.4197614804284149,titanic,Deterministic Weights,997,0.9770992366412212,0.5704003598740442,0,0
28,8,0.4949007904282388,titanic,Deterministic Weights,805,0.9885496183206108,0.4993667679837894,0,0
29,9,0.4104224552493327,titanic,Deterministic Weights,997,0.9732824427480916,0.5783110459791169,0,0
30,10,0.51687147024142,titanic,Deterministic Weights,866,0.9810482520318036,0.4754902144864405,0,0
31,11,0.4174337782212431,titanic,Deterministic Weights,883,0.9732824427480916,0.5711072553177816,0,0
32,12,0.5116495352059441,titanic,Deterministic Weights,999,0.9923664122137406,0.4844146991386254,0,0
33,13,0.5142538546851657,titanic,Deterministic Weights,49,0.9670509425144104,0.4744817561439954,0,0
34,14,0.4840588534799508,titanic,Deterministic Weights,656,0.9697216533234037,0.5032976605276257,0,0
35,15,0.5552956099205985,titanic,Deterministic Weights,998,0.9772675121234836,0.4343196936040757,0,0
36,16,0.5415532691669432,titanic,Deterministic Weights,998,0.988549618320611,0.4521739130434782,0,0
37,17,0.5296315375929481,titanic,Deterministic Weights,710,0.9769648424900548,0.4757942337048878,0,0
38,18,0.5669389475049027,titanic,Deterministic Weights,998,0.9652166929278404,0.4235374601189032,0,0
39,19,0.4995727078265246,titanic,Deterministic Weights,1000,0.977179389312977,0.4909218406593406,0,0
40,0,0.9231417695856348,titanic,Evolved Weights,554,0.8530396560751784,0.2450348781466154,0,0
